DATE;CMIG4;SUZB3
19/01/2021 14:00;14.18;65.21
19/01/2021 10:00;14.36;65.64
18/01/2021 14:00;14.43;63.29
18/01/2021 10:00;14.63;63.79
15/01/2021 14:00;14.67;61.15
15/01/2021 10:00;14.85;61.87
14/01/2021 14:00;15.01;59.66
14/01/2021 10:00;14.9;59.87
13/01/2021 14:00;14.79;60.00
13/01/2021 10:00;14.49;59.13
12/01/2021 14:00;14.66;61.23
12/01/2021 10:00;14.54;62.36
11/01/2021 14:00;14.72;61.31
11/01/2021 10:00;14.85;61.79
08/01/2021 14:00;15.25;62.78
08/01/2021 10:00;15.28;60.99
07/01/2021 14:00;14.27;62.49
07/01/2021 10:00;14.52;61.16
06/01/2021 14:00;14.46;57.52
06/01/2021 10:00;14.54;58.49
05/01/2021 14:00;14.14;58.64
05/01/2021 10:00;14.17;57.88
04/01/2021 14:00;14.14;58.91
04/01/2021 10:00;14.22;58.28
30/12/2020 14:00;14.56;58.54
30/12/2020 10:00;14.42;58.35
29/12/2020 14:00;14.47;57.21
29/12/2020 10:00;14.43;57.04
28/12/2020 14:00;14.52;57.16
28/12/2020 10:00;14.59;57.2
23/12/2020 14:00;14.18;56.37
23/12/2020 10:00;14.26;56.98
22/12/2020 14:00;13.85;57.68
22/12/2020 10:00;13.74;56.76
21/12/2020 14:00;13.5;55.22
21/12/2020 10:00;13.55;55.23
18/12/2020 14:00;13.96;56.43
18/12/2020 10:00;13.88;57.04
17/12/2020 14:00;13.81;54.96
17/12/2020 10:00;13.67;55.19
16/12/2020 14:00;13.48;54.37
16/12/2020 10:00;13.41;53.94
15/12/2020 14:00;13.48;53.5
15/12/2020 10:00;13.57;53.48
14/12/2020 14:00;13.59;51.66
14/12/2020 10:00;13.7;51.08
11/12/2020 14:00;13.69;51.42
11/12/2020 10:00;13.49;50.63
10/12/2020 14:00;13.24;50.55
10/12/2020 10:00;13.07;51.6
09/12/2020 14:00;13.02;52.48
09/12/2020 10:00;13.13;52.76
08/12/2020 14:00;13.05;52.83
08/12/2020 10:00;13.09;52.66
07/12/2020 14:00;13.23;52.75
07/12/2020 10:00;13.23;52.61
04/12/2020 14:00;12.66;52.8
04/12/2020 10:00;12.75;53.55
03/12/2020 14:00;12.91;51.98
03/12/2020 10:00;13.12;51.55
02/12/2020 14:00;13.01;54.58
02/12/2020 10:00;13.05;55.58
01/12/2020 14:00;12.95;57.46
